Gene	Gene set name	Category
GRMZM6G708185	KEGG_ABC_TRANSPORTERS	KEGG
GRMZM2G032218	KEGG_ABC_TRANSPORTERS	KEGG
GRMZM6G708185	KEGG_ABC_TRANSPORTERS	KEGG
GRMZM2G081573	KEGG_ABC_TRANSPORTERS	KEGG
GRMZM2G376310	KEGG_ABC_TRANSPORTERS	KEGG
GRMZM2G049342	KEGG_ACUTE_MYELOID_LEUKEMIA	KEGG
GRMZM2G005869	KEGG_ACUTE_MYELOID_LEUKEMIA	KEGG
GRMZM2G080001	KEGG_ACUTE_MYELOID_LEUKEMIA	KEGG
AC215181.3_FG004	KEGG_ACUTE_MYELOID_LEUKEMIA	KEGG
GRMZM2G004468	KEGG_ACUTE_MYELOID_LEUKEMIA	KEGG
GRMZM2G090725	KEGG_ACUTE_MYELOID_LEUKEMIA	KEGG
GRMZM2G167856	KEGG_ACUTE_MYELOID_LEUKEMIA	KEGG
GRMZM2G316007	KEGG_ACUTE_MYELOID_LEUKEMIA	KEGG
GRMZM2G338293	KEGG_ACUTE_MYELOID_LEUKEMIA	KEGG
GRMZM2G367411	KEGG_ACUTE_MYELOID_LEUKEMIA	KEGG
GRMZM2G400470	KEGG_ACUTE_MYELOID_LEUKEMIA	KEGG
GRMZM5G845962	KEGG_ACUTE_MYELOID_LEUKEMIA	KEGG
GRMZM2G007848	KEGG_ACUTE_MYELOID_LEUKEMIA	KEGG
GRMZM2G017792	KEGG_ACUTE_MYELOID_LEUKEMIA	KEGG
GRMZM2G048455	KEGG_ACUTE_MYELOID_LEUKEMIA	KEGG
GRMZM2G053987	KEGG_ACUTE_MYELOID_LEUKEMIA	KEGG
GRMZM2G062761	KEGG_ACUTE_MYELOID_LEUKEMIA	KEGG
GRMZM2G062914	KEGG_ACUTE_MYELOID_LEUKEMIA	KEGG
GRMZM2G089484	KEGG_ACUTE_MYELOID_LEUKEMIA	KEGG
GRMZM2G122335	KEGG_ACUTE_MYELOID_LEUKEMIA	KEGG
GRMZM2G123886	KEGG_ACUTE_MYELOID_LEUKEMIA	KEGG
GRMZM2G127141	KEGG_ACUTE_MYELOID_LEUKEMIA	KEGG
GRMZM2G163861	KEGG_ACUTE_MYELOID_LEUKEMIA	KEGG
GRMZM2G306028	KEGG_ACUTE_MYELOID_LEUKEMIA	KEGG
GRMZM2G374088	KEGG_ACUTE_MYELOID_LEUKEMIA	KEGG
AC209819.3_FG012	KEGG_ADHERENS_JUNCTION	KEGG
GRMZM2G001953	KEGG_ADHERENS_JUNCTION	KEGG
GRMZM2G100505	KEGG_ADHERENS_JUNCTION	KEGG
GRMZM2G102946	KEGG_ADHERENS_JUNCTION	KEGG
GRMZM2G176217	KEGG_ADHERENS_JUNCTION	KEGG
GRMZM2G375002	KEGG_ADHERENS_JUNCTION	KEGG
GRMZM2G415327	KEGG_ADHERENS_JUNCTION	KEGG
GRMZM5G803949	KEGG_ADHERENS_JUNCTION	KEGG
GRMZM5G846811	KEGG_ADHERENS_JUNCTION	KEGG
GRMZM2G147500	KEGG_ADHERENS_JUNCTION	KEGG
GRMZM2G047855	KEGG_ADHERENS_JUNCTION	KEGG
GRMZM2G141903	KEGG_ADHERENS_JUNCTION	KEGG
GRMZM2G143602	KEGG_ADHERENS_JUNCTION	KEGG
GRMZM5G845755	KEGG_ADHERENS_JUNCTION	KEGG
GRMZM2G098208	KEGG_ADHERENS_JUNCTION	KEGG
GRMZM2G148216	KEGG_ADHERENS_JUNCTION	KEGG
GRMZM2G161611	KEGG_ADHERENS_JUNCTION	KEGG
GRMZM5G857992	KEGG_ADHERENS_JUNCTION	KEGG
GRMZM2G007848	KEGG_ADHERENS_JUNCTION	KEGG
GRMZM2G017792	KEGG_ADHERENS_JUNCTION	KEGG
GRMZM2G048455	KEGG_ADHERENS_JUNCTION	KEGG
GRMZM2G053987	KEGG_ADHERENS_JUNCTION	KEGG
GRMZM2G062761	KEGG_ADHERENS_JUNCTION	KEGG
GRMZM2G062914	KEGG_ADHERENS_JUNCTION	KEGG
GRMZM2G089484	KEGG_ADHERENS_JUNCTION	KEGG
GRMZM2G122335	KEGG_ADHERENS_JUNCTION	KEGG
GRMZM2G123886	KEGG_ADHERENS_JUNCTION	KEGG
GRMZM2G127141	KEGG_ADHERENS_JUNCTION	KEGG
GRMZM2G163861	KEGG_ADHERENS_JUNCTION	KEGG
GRMZM2G306028	KEGG_ADHERENS_JUNCTION	KEGG
GRMZM2G374088	KEGG_ADHERENS_JUNCTION	KEGG
GRMZM2G069886	KEGG_ADHERENS_JUNCTION	KEGG
GRMZM2G139977	KEGG_ADHERENS_JUNCTION	KEGG
GRMZM2G470556	KEGG_ADHERENS_JUNCTION	KEGG
GRMZM2G049342	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG
AC194698.2_FG001	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG
GRMZM2G002614	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG
GRMZM2G016774	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG
GRMZM2G055320	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG
GRMZM2G059381	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG
GRMZM2G079236	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG
GRMZM2G101875	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG
GRMZM2G104847	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG
GRMZM2G117064	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG
GRMZM2G118286	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG
GRMZM2G152127	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG
GRMZM2G426399	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG
GRMZM2G430616	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG
GRMZM5G812228	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG
GRMZM5G861300	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG
GRMZM2G014833	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG
GRMZM2G044038	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG
GRMZM2G062651	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG
GRMZM2G067408	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG
GRMZM2G075002	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG
GRMZM2G077278	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG
GRMZM2G096115	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG
GRMZM2G099002	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG
GRMZM2G107867	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG
GRMZM2G114575	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG
GRMZM2G129018	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG
GRMZM2G136400	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG
GRMZM2G136410	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG
GRMZM2G170120	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG
