Gene	Gene set name	Category
LOC_Os06g04510	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os06g13720	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os06g14510	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os06g15990	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os06g30460	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os06g40640	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os06g45370	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os06g45590	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os06g45710	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os07g08340	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os07g09890	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os07g22720	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os07g26540	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os07g42924	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os07g49250	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os08g02700	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os08g03290	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os08g34050	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os08g34210	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os08g37380	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os08g42410	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os09g02140	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os09g20820	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os09g24910	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os09g26880	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os09g29070	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os09g30240	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os09g33500	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os09g36450	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os10g06720	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os10g07229	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os10g08550	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os10g11140	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os10g13700	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os10g26570	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os10g42100	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os11g04320	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os11g05110	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os11g05260	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os11g07020	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os11g08300	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os11g10480	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os11g10510	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os11g10520	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os12g05110	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os12g08170	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os12g42230	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os01g58610	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os08g37140	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os01g46610	KEGG_CITRATE_CYCLE_(TCA_CYCLE)	KEGG
LOC_Os01g16900	KEGG_CITRATE_CYCLE_(TCA_CYCLE)	KEGG
LOC_Os01g19450	KEGG_CITRATE_CYCLE_(TCA_CYCLE)	KEGG
LOC_Os01g46070	KEGG_CITRATE_CYCLE_(TCA_CYCLE)	KEGG
LOC_Os01g23610	KEGG_CITRATE_CYCLE_(TCA_CYCLE)	KEGG
LOC_Os01g22520	KEGG_CITRATE_CYCLE_(TCA_CYCLE)	KEGG
LOC_Os01g14580	KEGG_CITRATE_CYCLE_(TCA_CYCLE)	KEGG
LOC_Os01g61380	KEGG_CITRATE_CYCLE_(TCA_CYCLE)	KEGG
LOC_Os02g01500	KEGG_CITRATE_CYCLE_(TCA_CYCLE)	KEGG
LOC_Os02g10070	KEGG_CITRATE_CYCLE_(TCA_CYCLE)	KEGG
LOC_Os02g13840	KEGG_CITRATE_CYCLE_(TCA_CYCLE)	KEGG
LOC_Os02g38200	KEGG_CITRATE_CYCLE_(TCA_CYCLE)	KEGG
LOC_Os02g40830	KEGG_CITRATE_CYCLE_(TCA_CYCLE)	KEGG
LOC_Os02g50620	KEGG_CITRATE_CYCLE_(TCA_CYCLE)	KEGG
LOC_Os03g04410	KEGG_CITRATE_CYCLE_(TCA_CYCLE)	KEGG
LOC_Os03g15050	KEGG_CITRATE_CYCLE_(TCA_CYCLE)	KEGG
LOC_Os03g21950	KEGG_CITRATE_CYCLE_(TCA_CYCLE)	KEGG
LOC_Os03g44300	KEGG_CITRATE_CYCLE_(TCA_CYCLE)	KEGG
LOC_Os03g56280	KEGG_CITRATE_CYCLE_(TCA_CYCLE)	KEGG
LOC_Os04g02900	KEGG_CITRATE_CYCLE_(TCA_CYCLE)	KEGG
LOC_Os04g32020	KEGG_CITRATE_CYCLE_(TCA_CYCLE)	KEGG
LOC_Os04g32330	KEGG_CITRATE_CYCLE_(TCA_CYCLE)	KEGG
LOC_Os04g40310	KEGG_CITRATE_CYCLE_(TCA_CYCLE)	KEGG
LOC_Os04g42920	KEGG_CITRATE_CYCLE_(TCA_CYCLE)	KEGG
LOC_Os04g46560	KEGG_CITRATE_CYCLE_(TCA_CYCLE)	KEGG
